Path,DSMdv,LC3,Avinf,Lcdate,TOF
3358,0.081,94.739,15.362,2039-09-06,14.67
3358,0.051,198.692,12.903,2035-12-24,13.24
3358,0.078,97.488,14.707,2036-01-19,12.1
3358,0.034,79.901,14.316,2039-01-21,14.05
3358,0.137,87.525,15.294,2034-01-21,13.95
3358,0.161,165.752,7.049,2035-06-09,14.35
3358,0.184,132.944,9.895,2037-03-28,11.35
3358,0.12,102.346,11.676,2035-06-11,13.7
3358,0.153,89.409,20.398,2032-02-17,14.76
3358,0.184,204.887,13.582,2039-07-24,13.51
3358,0.107,87.46,12.022,2031-09-30,10.64
3358,0.035,92.345,10.312,2034-12-15,12.53
3358,0.023,94.432,15.041,2033-02-15,14.36
3358,0.019,169.499,6.367,2034-12-01,13.55
3358,0.086,215.281,13.499,2036-06-27,14.82
3358,0.188,221.339,5.506,2037-07-06,12.16
3358,0.13,202.296,11.81,2036-02-10,12.03
3358,0.034,124.965,21.231,2031-10-22,12.19
3358,0.137,116.678,13.255,2038-05-10,12.75
3358,0.055,93.388,7.485,2038-04-22,11.86
3358,0.021,93.776,10.112,2036-04-28,12.8
3358,0.142,106.029,16.032,2039-10-28,14.78
3358,0.154,85.935,14.09,2038-06-01,14.02
3358,0.095,131.119,17.034,2032-08-27,13.52
3358,0.183,106.486,12.12,2035-06-25,12.01
3358,0.145,97.691,17.737,2039-05-19,14.84
3358,0.084,88.284,16.947,2038-05-30,14.66
3358,0.003,89.608,10.004,2035-06-01,13.71
3358,0.111,86.208,12.304,2034-12-19,13.51
3358,0.084,100.858,15.217,2039-10-08,14.32
3358,0.029,168.691,6.068,2031-10-30,9.85
3358,0.058,142.487,16.302,2038-04-12,14.71
3358,0.019,165.781,15.066,2039-11-11,13.3
3358,0.156,200.403,9.379,2034-06-28,14.69
3358,0.098,95.745,4.733,2036-01-09,13.26
3358,0.114,155.024,12.594,2032-05-17,7.55
3358,0.098,89.928,12.828,2039-06-02,13.65
3358,0.185,217.824,12.998,2033-04-06,12.55
3358,0.108,214.002,7.244,2039-04-07,10.19
3358,0.108,85.663,12.43,2033-12-28,13.96
3358,0.145,86.539,17.183,2036-02-18,12.49
