Path,DSMdv,LC3,Avinf,Lcdate,TOF
3358,0.087,174.967,11.299,2039-07-20,12.5
3358,0.144,94.209,10.943,2033-10-27,12.39
3358,0.045,106.398,17.871,2038-04-22,13.33
3358,0.195,118.102,12.077,2037-08-23,12.76
3358,0.01,88.412,16.949,2037-12-09,14.67
3358,0.09,105.557,15.77,2038-05-06,14.25
3358,0.134,164.153,18.347,2032-03-30,14.21
3358,0.127,102.21,15.368,2037-07-28,14.7
3358,0.164,151.92,20.616,2036-07-09,11.97
3358,0.088,148.721,18.108,2038-05-28,10.85
3358,0.097,193.173,10.913,2032-11-13,11.81
3358,0.107,116.808,7.543,2039-07-20,11.92
3358,0.083,103.054,8.696,2034-06-08,15.0
3358,0.081,82.348,8.985,2036-01-27,14.18
3358,0.129,132.715,16.583,2039-04-19,14.02
3358,0.155,92.543,7.418,2039-07-10,10.88
3358,0.019,201.112,11.961,2033-07-13,11.45
3358,0.12,213.226,5.876,2034-08-15,15.0
3358,0.083,82.829,4.799,2032-03-20,9.33
3358,0.183,183.096,16.245,2036-04-26,12.1
3358,0.096,79.618,10.034,2039-04-01,12.11
3358,0.1,89.74,12.806,2039-06-08,13.62
3358,0.044,87.975,17.074,2039-05-05,14.2
3358,0.008,88.082,6.427,2037-04-19,13.59
3358,0.138,151.117,9.935,2032-11-23,12.02
3358,0.143,185.056,20.54,2033-02-27,14.77
3358,0.188,122.359,24.516,2037-05-31,15.0
3358,0.001,95.873,7.132,2032-12-01,9.35
3358,0.176,185.832,12.798,2036-02-14,12.01
3358,0.103,185.505,20.77,2038-04-26,13.71
3358,0.009,89.642,9.214,2038-06-05,13.58
3358,0.097,102.828,8.013,2034-09-18,13.86
3358,0.17,117.247,23.969,2035-05-12,12.85
3358,0.099,88.525,17.806,2031-06-02,8.02
3358,0.036,102.641,16.875,2034-05-17,14.3
3358,0.004,90.773,12.489,2032-12-15,12.34
3358,0.115,84.057,13.053,2038-09-01,14.33
3358,0.154,182.49,19.188,2039-11-19,8.46
3358,0.029,217.968,13.832,2038-11-12,14.03
3358,0.108,100.958,6.503,2037-02-18,12.52
3358,0.027,81.637,17.562,2038-03-03,13.39
3358,0.039,157.299,10.641,2031-11-29,12.58
3358,0.178,165.732,9.808,2036-04-08,13.39
3358,0.099,190.377,14.491,2037-04-09,10.28
3358,0.104,150.56,21.742,2039-01-03,14.39
3358,0.125,167.647,18.513,2033-03-01,13.53
3358,0.009,94.099,9.575,2031-10-12,12.95
3358,0.013,88.668,16.87,2032-01-04,14.41
3358,0.192,174.287,6.011,2038-03-11,14.38
