Path,DSMdv,LC3,Avinf,Lcdate,TOF
358,0.099,92.917,15.558,2036-08-28,5.67
358,0.082,116.071,14.607,2034-01-25,13.73
358,0.099,93.007,21.972,2038-05-20,10.12
358,0.09,163.791,12.172,2034-07-24,13.48
358,0.07,224.707,10.14,2037-11-25,10.5
358,0.062,97.51,15.585,2034-10-10,11.11
358,0.012,206.504,6.041,2038-10-17,10.85
358,0.062,91.61,9.054,2033-05-24,9.23
358,0.003,91.328,19.797,2033-04-28,9.26
358,0.064,107.671,9.709,2038-11-22,9.66
358,0.04,158.19,12.476,2032-05-05,7.07
358,0.083,101.629,16.023,2036-11-26,14.2
358,0.044,91.203,13.15,2032-05-05,9.13
358,0.087,205.477,16.541,2031-01-27,6.13
358,0.086,200.656,12.782,2037-10-04,10.21
358,0.01,195.241,22.615,2031-03-28,11.25
358,0.03,103.756,5.853,2036-08-26,12.38
358,0.093,170.196,14.379,2036-12-02,13.84
358,0.093,103.871,15.676,2032-09-20,12.88
358,0.095,121.936,11.929,2031-11-15,13.71
358,0.082,119.845,10.419,2033-12-12,14.61
358,0.033,91.396,22.042,2031-05-23,7.78
358,0.096,97.669,14.585,2032-07-18,7.61
358,0.023,112.063,10.69,2038-04-14,12.54
358,0.004,91.524,13.985,2039-08-05,14.22
358,0.052,95.908,13.138,2039-02-18,10.85
358,0.041,201.87,11.672,2034-12-05,14.04
358,0.085,220.728,8.846,2039-11-11,14.1
358,0.094,89.315,5.34,2032-05-27,14.47
358,0.005,86.937,13.351,2037-11-15,7.96
358,0.07,171.071,10.401,2039-10-16,4.42
358,0.07,114.959,11.106,2032-12-17,14.83
358,0.086,82.427,11.04,2038-11-26,9.36
358,0.001,206.53,23.458,2032-05-05,5.84
358,0.099,97.197,10.345,2037-10-04,7.33
358,0.065,112.742,8.728,2038-11-14,10.16
358,0.014,133.35,13.002,2031-03-28,5.34
358,0.09,138.397,11.695,2031-02-08,11.21
358,0.06,99.413,5.369,2039-04-15,10.85
358,0.095,101.822,20.285,2033-11-06,12.73
358,0.095,136.845,16.755,2037-02-26,11.25
358,0.013,91.251,13.274,2036-11-10,8.78
358,0.086,204.347,16.678,2038-09-29,11.27
358,0.012,142.339,18.309,2037-04-21,11.39
358,0.092,103.728,5.537,2037-04-11,12.73
358,0.002,90.322,16.138,2033-04-28,5.84
358,0.071,217.639,5.848,2039-06-28,11.14
358,0.076,128.808,24.2,2033-04-28,10.38
358,0.057,113.803,12.961,2037-04-09,13.74
358,0.098,96.737,6.912,2036-08-16,14.32
358,0.095,121.021,7.188,2038-09-29,12.94
358,0.003,99.221,14.655,2034-06-12,10.51
358,0.086,220.008,16.931,2032-10-30,13.29
358,0.047,143.859,7.561,2035-01-16,13.6
358,0.093,109.788,16.239,2032-05-05,11.71
358,0.097,107.272,9.952,2033-10-25,14.77
358,0.068,129.153,15.921,2039-05-27,14.19
358,0.099,146.128,6.587,2039-04-09,11.73
358,0.095,217.942,9.46,2037-09-10,13.18
