Path,DSMdv,LC3,Avinf,Lcdate,TOF
368,0.099,150.902,15.269,2035-10-01,12.6
368,0.096,149.608,12.817,2033-09-03,14.03
368,0.092,109.895,12.446,2038-12-24,14.03
368,0.022,143.801,6.786,2031-08-17,10.26
368,0.097,133.792,15.343,2038-12-02,14.88
368,0.098,198.281,16.689,2037-12-15,14.5
368,0.091,157.858,14.871,2036-11-20,11.5
368,0.097,146.208,12.926,2031-07-26,14.43
368,0.004,144.547,11.136,2031-07-26,14.76
368,0.095,152.675,14.075,2034-09-20,11.99
368,0.036,171.838,11.08,2037-10-28,11.74
368,0.096,223.0,8.261,2035-12-10,12.85
368,0.011,139.947,18.274,2039-12-15,13.34
368,0.016,213.883,13.108,2032-08-29,13.56
368,0.099,168.625,8.252,2035-11-22,12.83
368,0.007,134.06,16.49,2039-12-15,12.23
368,0.092,208.596,15.419,2032-08-23,11.33
368,0.009,211.17,14.871,2033-08-06,10.38
368,0.076,137.265,14.171,2039-11-21,12.79
368,0.086,171.931,15.458,2038-11-08,13.76
368,0.056,193.486,16.793,2031-10-20,14.42
368,0.094,147.96,11.668,2031-08-17,14.65
368,0.084,163.994,21.171,2031-09-06,12.24
368,0.098,136.43,16.144,2032-08-23,14.79
368,0.091,138.859,8.898,2038-11-12,14.56
368,0.097,149.389,6.762,2036-11-16,10.93
368,0.078,123.037,21.543,2032-08-23,7.27
368,0.093,219.399,12.573,2035-11-24,13.94
368,0.002,165.564,22.961,2038-11-08,11.91
368,0.091,174.392,7.433,2037-10-14,10.19
368,0.0,143.727,20.76,2039-12-15,11.46
368,0.099,190.584,17.888,2034-08-29,13.34
368,0.001,121.452,19.721,2032-08-31,12.56
368,0.088,116.128,16.283,2031-08-15,12.1
368,0.003,153.361,8.757,2036-11-20,11.74
368,0.058,134.819,14.263,2039-11-23,12.78
368,0.064,145.613,17.495,2034-09-22,11.11
368,0.003,110.549,7.206,2038-12-22,14.58
368,0.09,135.019,19.621,2036-11-02,11.4
368,0.08,135.98,17.435,2032-08-23,11.35
368,0.093,189.738,13.888,2034-09-22,13.74
368,0.093,172.866,14.04,2037-10-14,12.2
368,0.097,166.508,12.218,2032-08-25,14.88
368,0.095,144.595,9.069,2038-11-14,14.53
368,0.085,150.19,14.155,2038-11-08,13.8
368,0.091,142.658,6.821,2035-10-11,12.03
368,0.011,166.205,22.13,2031-09-06,13.17
368,0.016,123.228,15.901,2033-09-17,12.18
368,0.099,186.503,13.455,2035-11-20,10.93
368,0.1,137.606,16.374,2035-10-25,12.03
368,0.042,204.179,9.799,2035-12-04,12.65
368,0.095,184.001,8.478,2037-11-15,11.08
368,0.099,135.416,23.631,2038-11-24,9.3
368,0.013,183.125,14.986,2031-09-26,12.13
368,0.051,178.601,13.415,2035-12-04,14.08
368,0.003,205.037,11.886,2033-08-06,7.36
368,0.098,201.23,21.647,2037-12-07,10.36
368,0.07,140.212,11.01,2036-11-08,11.12
368,0.092,162.954,10.946,2034-10-30,13.08
368,0.098,173.188,8.189,2037-11-15,10.86
368,0.075,132.081,14.473,2033-09-25,14.29
368,0.001,143.391,23.37,2037-11-17,7.73
368,0.087,133.115,9.96,2031-09-06,9.44
368,0.028,118.388,17.734,2032-08-29,14.77
368,0.089,213.572,14.34,2034-11-17,11.78
368,0.086,172.696,12.063,2032-08-03,13.85
368,0.092,163.963,13.223,2033-09-07,12.81
368,0.084,123.792,17.783,2032-08-25,11.36
368,0.085,174.822,12.475,2031-09-26,11.46
368,0.038,167.567,21.753,2032-09-20,12.29
368,0.09,173.786,15.525,2038-11-08,13.76
368,0.018,207.222,16.513,2032-10-28,13.61
368,0.092,222.088,14.981,2035-11-14,8.1
368,0.098,177.978,14.432,2037-10-12,12.24
368,0.088,148.732,11.15,2034-09-24,13.15
368,0.076,190.823,13.426,2035-10-03,14.25
368,0.1,143.388,13.177,2032-08-19,10.96
368,0.079,135.097,20.683,2036-10-27,13.99
