Path,DSMdv,LC3,Avinf,Lcdate,TOF
323358,0.13,34.233,10.808,2031-03-24,13.45
323358,0.134,220.765,8.713,2036-07-09,14.62
323358,0.174,51.141,9.156,2031-04-19,13.14
323358,0.176,218.931,18.396,2038-01-14,13.96
323358,0.13,223.229,14.981,2038-05-18,13.02
323358,0.304,140.93,13.134,2033-01-22,11.92
323358,0.254,223.873,19.774,2033-01-28,14.84
323358,0.153,163.888,9.171,2033-01-28,10.86
323358,0.245,158.557,15.891,2033-03-13,13.15
323358,0.14,68.165,6.877,2036-04-08,12.61
323358,0.309,149.71,15.546,2033-04-16,12.31
323358,0.145,139.978,7.256,2038-02-27,13.15
323358,0.196,207.39,6.607,2035-01-26,14.71
323358,0.185,224.626,9.33,2038-02-11,14.05
323358,0.165,61.676,19.774,2037-05-05,10.57
323358,0.185,135.157,21.709,2035-01-28,13.24
323358,0.202,209.061,8.616,2038-11-06,12.49
323358,0.166,67.456,18.168,2038-10-23,14.58
323358,0.204,109.631,10.37,2035-05-10,14.35
323358,0.119,104.503,8.955,2035-07-19,14.21
323358,0.221,29.247,16.348,2033-04-08,14.58
323358,0.137,128.757,12.842,2039-09-10,13.11
323358,0.19,219.714,9.172,2035-07-11,14.85
323358,0.267,219.964,17.534,2032-04-05,14.32
323358,0.039,59.082,20.22,2039-01-23,14.47
323358,0.226,27.052,7.151,2034-10-14,14.94
323358,0.122,31.101,15.28,2037-08-09,10.41
323358,0.174,119.251,13.148,2038-03-07,13.56
323358,0.217,224.096,12.405,2038-03-11,14.26
323358,0.321,143.535,19.678,2033-03-25,14.99
323358,0.166,158.985,14.373,2037-09-12,14.47
323358,0.192,174.851,17.464,2039-07-22,14.97
323358,0.095,160.115,11.981,2033-05-08,14.71
323358,0.272,34.694,12.868,2031-02-26,14.58
323358,0.218,23.155,14.163,2037-11-01,11.04
323358,0.025,214.094,4.976,2037-12-17,11.98
323358,0.167,204.219,15.516,2033-03-17,14.78
323358,0.109,139.555,15.683,2036-05-10,9.7
323358,0.177,93.401,10.171,2032-03-14,12.59
323358,0.189,194.947,15.181,2038-11-20,14.93
323358,0.113,224.395,8.779,2036-07-19,14.55
323358,0.159,156.098,20.655,2032-12-05,13.98
323358,0.164,114.311,9.071,2035-08-04,14.99
323358,0.261,50.712,7.18,2035-09-13,14.62
323358,0.297,179.741,14.163,2036-07-19,12.39
323358,0.163,111.896,5.453,2035-12-10,13.76
323358,0.134,222.169,11.317,2031-07-16,13.22
323358,0.129,222.23,8.381,2035-09-13,14.84
323358,0.051,160.041,10.654,2037-10-04,14.43
323358,0.202,83.852,9.026,2033-04-08,11.0
323358,0.103,13.25,20.328,2034-07-22,12.28
323358,0.245,213.425,19.164,2035-01-06,13.23
323358,0.044,166.343,14.716,2037-05-27,14.77
323358,0.19,102.092,4.804,2037-09-12,12.33
323358,0.139,199.515,13.785,2038-12-06,14.08
323358,0.135,184.779,11.87,2037-08-09,11.78
323358,0.069,167.668,15.005,2037-08-05,11.28
323358,0.236,106.908,5.923,2035-07-19,14.98
323358,0.235,106.873,13.261,2031-02-12,13.87
323358,0.196,103.625,15.13,2038-09-09,14.55
323358,0.269,221.937,13.596,2038-12-12,13.99
323358,0.104,194.805,12.431,2037-09-04,13.35
323358,0.103,125.333,15.934,2034-11-19,11.23
323358,0.167,164.52,13.992,2036-01-27,12.81
323358,0.198,204.65,16.205,2034-12-11,13.51
323358,0.224,76.148,15.89,2039-08-19,15.0
323358,0.141,24.453,10.152,2034-04-15,10.36
323358,0.112,18.202,12.228,2035-09-27,13.64
323358,0.079,178.473,5.435,2035-07-01,14.65
323358,0.147,183.244,14.729,2031-06-04,14.55
323358,0.168,70.911,7.454,2035-10-03,14.55
323358,0.202,142.577,11.593,2032-10-08,14.85
323358,0.228,206.558,18.976,2037-02-22,11.46
323358,0.129,207.224,6.683,2034-10-12,14.92
323358,0.162,76.889,12.951,2037-06-26,14.92
323358,0.272,60.535,15.997,2036-07-03,12.37
323358,0.171,197.29,19.974,2033-03-19,13.2
323358,0.132,167.753,19.209,2034-08-17,13.76
323358,0.295,163.806,9.655,2033-02-11,11.66
323358,0.203,63.458,14.087,2038-11-20,14.97
323358,0.249,157.701,15.656,2031-05-17,8.47
323358,0.203,188.308,10.96,2036-07-21,14.39
323358,0.206,65.526,7.557,2035-08-12,14.31
323358,0.12,19.687,14.659,2039-03-16,14.75
323358,0.226,184.234,15.546,2031-04-17,14.31
323358,0.123,212.741,14.729,2033-04-20,12.67
323358,0.205,208.195,12.201,2037-11-05,14.62
